Minamiaso-Shirakawasuigen Station	南阿蘇白川水源駅（みなみあそしらかわすいげん）
Minami-Bifuka Station	南美深駅（みなみびふか）
Minami-Chitose Station	南千歳駅（みなみちとせ）
Minamichōkai Station	南鳥海駅（みなみちょうかい）
Minamidaira Station	南平駅（みなみだいら）
Minami-Daitō Station	南大東駅（みなみだいとう）
Minami-Dewa Station	南出羽駅（みなみでわ）
Minami-Fukuoka Station	南福岡駅（みなみふくおか）
Minami-Fukushima Station	南福島駅（みなみふくしま）
Minami-Funabashi Station	南船橋駅（みなみふなばし）
Minami-Furuya Station	南古谷駅（みなみふるや）
Minamigaoka Station	南が丘駅（みなみがおか）
Minami-Gōchi Station	南河内駅（みなみごうち）
Minami-Gotemba Station	南御殿場駅（みなみごてんば）
Minami-Gyōtoku Station	南行徳駅（みなみぎょうとく）
Minami-Hakui Station	南羽咋駅（みなみはくい）
Minami-Hanyū Station	南羽生駅（みなみはにゅう）
Minamihara Station	南三原駅（みなみはら）
Minami-Hashimoto Station	南橋本駅（みなみはしもと）
Minami-Hatogaya Station	南鳩ヶ谷駅（みなみはとがや）
Minami-Hikone Station	南彦根駅（みなみひこね）
Minami-Hinaga Station	南日永駅（みなみひなが）
Minami-Hiragishi Station	南平岸駅（みなみひらぎし）
Minami-Horibata Station	南堀端駅（みなみほりばた）
Minami-Horonobe Station	南幌延駅（みなみほろのべ）
Minami-Hyūga Station	南日向駅（みなみひゅうが）
Minami-Ibaraki Station	南茨木駅（みなみいばらき）
Minami-Ikoma Station	南生駒駅（みなみいこま）
Minami-Imajō Station	南今庄駅（みなみいまじょう）
Minami-Ishige Station	南石下駅（みなみいしげ）
Minami-Ishii Station	南石井駅（みなみいしい）
Minami-Ito Station	南伊東駅（みなみいとう）
Minami-Iwakuni Station	南岩国駅（みなみいわくに）
Minamijuku Station	南宿駅（みなみじゅく）
Minami-Kagiya Station	南加木屋駅（みなみかぎや）
Minami-Kagoshima Station	南鹿児島駅（みなみかごしま）
Minamikagoshima-ekimae Station	南鹿児島駅前駅（みなみかごしまえきまえ）
Minami-Kakuda Station	南角田駅（みなみかくだ）
Minami-Kamishiro Station	南神城駅（みなみかみしろ）
Minami-Kariyasu Station	美並苅安駅（みなみかりやす）
Minami-Kashiwa Station	南柏駅（みなみかしわ）
Minamikata Station (Miyazaki)	南方駅 (宮崎県)（みなみかた）
Minamikata Station (Osaka)	南方駅 (大阪府)（みなみかた）
Minami-Kesennuma Station	南気仙沼駅（みなみけせんぬま）
Minami-Kodakaraonsen Station	みなみ子宝温泉駅（みなみこだからおんせん）
Minami-Kokura Station	南小倉駅（みなみこくら）
Minami-Komatsushima Station	南小松島駅（みなみこまつしま）
Minami-Koshigaya Station	南越谷駅（みなみこしがや）
Minami-Kōen Station	南公園駅（みなみこうえん）
Minami-Kōfu Station	南甲府駅（みなみこうふ）
Minami-Kumamoto Station	南熊本駅（みなみくまもと）
Minami-Kurihashi Station	南栗橋駅（みなみくりはし）
Minami-Kurume Station	南久留米駅（みなみくるめ）
Minami-Kusatsu Station	南草津駅（みなみくさつ）
Minami-kuyakusho-mae Station	南区役所前駅（みなみくやくしょまえ）
Minamimachi Station	南町駅（みなみまち）
Minami-machi 2-chome Station	皆実町ニ丁目駅（みなみまちにちょうめ）
Minami-machi 6-chome Station	皆実町六丁目駅（みなみまちろくちょうめ）
