Higashi-Toyama Station	東富山駅（ひがしとやま）
Higashi-Tsuno Station	東都農駅（ひがしつの）
Higashi-Tsuyama Station	東津山駅（ひがしつやま）
Higashi-Tsuzuki Station	東都筑駅（ひがしつづき）
Higashi-Umeda Station	東梅田駅（ひがしうめだ）
Higashiura Station	東浦駅（ひがしうら）
Higashi-Urawa Station	東浦和駅（ひがしうらわ）
Higashi-Washinomiya Station	東鷲宮駅（ひがしわしのみや）
Higashiyama Station (Hokkaido)	東山駅 (北海道)（ひがしやま）
Higashiyama Station (Kyoto)	東山駅 (京都府)（ひがしやま）
Higashiyama Station (Nara)	東山駅 (奈良県)（ひがしやま）
Higashiyama Station (Okayama)	東山駅 (岡山県)（ひがしやま）
Higashi-Yamata Station	東山田駅（ひがしやまた）
Higashi-Yamakita Station	東山北駅（ひがしやまきた）
Higashiyamakōen Station (Aichi)	東山公園駅 (愛知県)（ひがしやまこうえん）
Higashiyamakōen Station (Tottori)	東山公園駅 (鳥取県)（ひがしやまこうえん）
Higashi-Yamanashi Station	東山梨駅（ひがしやまなし）
Higashi-Yamashiro Station	東山代駅（ひがしやましろ）
Higashiyamatoshi Station	東大和市駅（ひがしやまとし）
Higashi-Yamoto Station	東矢本駅（ひがしやもと）
Higashi-Yatsuo Station	東八尾駅（ひがしやつお）
Higashi-Yodogawa Station	東淀川駅（ひがしよどがわ）
Higashi-Yokota Station	東横田駅（ひがしよこた）
Higashi-Yūki Station	東結城駅（ひがしゆうき）
Higashi-Zushi Station	東逗子駅（ひがしずし）
Higata Station	干潟駅（ひがた）
Higiri Station	日切駅（ひぎり）
Higobashi Station	肥後橋駅（ひごばし）
Higo-Futami Station	肥後二見駅（ひごふたみ）
Higo-Ikura Station	肥後伊倉駅（ひごいくら）
Higo-Kōda Station	肥後高田駅（ひごこうだ）
Higo-Nagahama Station	肥後長浜駅（ひごながはま）
Higo-Nishinomura Station	肥後西村駅（ひごにしのむら）
