Izumi-Fuchū Station	和泉府中駅（いずみふちゅう）
Izumigaoka Station	泉ヶ丘駅（いずみがおか）
Izumigō Station	泉郷駅（いずみごう）
Izumi-Hashimoto Station	和泉橋本駅（いずみはしもと）
Izumino Station	いずみ野駅（いずみの）
Izumi-Omiya Station	和泉大宮駅（いずみおおみや）
Izumiotsu Station	泉大津駅（いずみおおつ）
Izumisano Station	泉佐野駅（いずみさの）
Izumisawa Station	泉沢駅（いずみさわ）
Izumi-Sunagawa Station	和泉砂川駅（いずみすながわ）
Izumita Station	泉田駅（いずみた）
Izumi-Taiikukan Station	泉体育館駅（いずみたいいくかん）
Izumi-Tamagawa Station	和泉多摩川駅（いずみたまがわ）
Izumi-Tottori Station	和泉鳥取駅（いずみとっとり）
Izumizaki Station	泉崎駅（いずみざき）
Izumma Station	出馬駅（いずんま）
Izumo-Daitō Station	出雲大東駅（いずもだいとう）
Izumo-Jinzai Station	出雲神西駅（いずもじんざい）
Izumo-Minari Station	出雲三成駅（いずもみなり）
Izumo-Sakane Station	出雲坂根駅（いずもさかね）
Izumo Science Center Park Town Mae Station	出雲科学館パークタウン前駅（いずもかがくかんパークタウンまえ）
Izumoshi Station	出雲市駅（いずもし）
Izumo Taisha-mae Station	出雲大社前駅（いずもたいしゃまえ）
Izumo-Yashiro Station	出雲八代駅（いずもやしろ）
Izumo-Yokota Station	出雲横田駅（いずもよこた）
Izumozaki Station	出雲崎駅（いずもざき）
Izu-Nagaoka Station	伊豆長岡駅（いずながおか）
Izu-Nitta Station	伊豆仁田駅（いずにった）
Izu-Ōkawa Station	伊豆大川駅（いずおおかわ）
Izu-Taga Station	伊豆多賀駅（いずたが）
